s1,title,following
1.19,你好，孩子内向，在学校经常被欺负，无论怎么和孩子谈都是一样被欺负，每次谈都要小心翼翼的，怕伤孩子自尊，想请问要怎样和孩子勾通这事,孩子在家胆子也很小，和我还好，但是很怕她爸爸 // 感觉孩子不愿意和爸爸在一起，就是在一起也小心翼翼的
1.19,女 小孩才三岁多但脾气非常的暴躁，不管跟谁只要说话语气重点他的那个脾气就来了，跟着就眼泪来了，打又打不得，我都不知道该怎么，怎么去教,好 // 但小孩这个脾气我应该怎么去教 // 难道是因为我脾气不好，所以小孩脾气也不好吗 // 应该像我吧 // 小孩也特别喜欢哭，一个男孩子也这么喜欢哭，动不动就哭
1.19,男 就是放假了，妈妈让我学习，但是我不想学习。然后妈妈就吵我，就觉得特别无耐。烦，感觉妈妈唠叨。而且动不动就吵我。就感觉都是我的错。,不能 // 我的情况能给，一些建议吗 // 我感觉就是好像有一些自卑心理 // 嗯
1.19,女 最近我觉得自己非常嗜睡而且经常呼吸困难容易发火，抓自己感觉不到疼痛，最近一次我爸打我我竟然萌生了就那样死的念头，觉得生活没意思了,初三刚刚毕业
1.19,女 你好医生。请问我儿子今年5岁，去幼儿园半个学期了，不跟老师说话，也不跟同学玩，回到家老师教的儿歌他都会，就是在学校不说话，怎么办啊,都快急死了，在家特别淘，也爱说，出门一句话也不说 // 在家里每天都告诉他，去学校和老师说话 // 那我做家长的，到底要怎么办才好啊 // 会不会是自闭症 // 他在学校，我和他爸爸去，问他他都不和我们说话 // 那我到底要怎么办
1.19,女 总是对孩子发脾气。有时因为受外在影响，孩子正好不听话时，就对孩子发脾气，现在孩子有时看我发脾气，她也会害怕，可是我控制不住，怎办？,
1.19,男 离婚后，儿子和我在一起生活，现在读二年级，学习越来越差，我问他为什么，他说想跟妈妈在一起读书，在我这里没兴趣学不进去，我都不知道该怎么办,都不知道怎么才好 // 谢谢
1.19,男 小孩子十岁了，洗喜欢玩，上课不是很认真喜欢说谎，有拿家长的钱，拿存钱罐的钱，最近喜欢拿我的手机玩游戏，做业不盯着就不肯做，不知道怎么办好。,
1.19,男 我的孩子今年10岁，在5.1开始不去上学了，打，说都不管用。经过和他沟通说是不愿意写作业，对上学没有性趣，请教您有什么好办法让他对课堂有兴趣，拜托,
1.19,"女,孩子12周岁了！和老师同学交流都可以！但是我的朋友问她们（双胞胎）却不回答！我问她们为什么不愿和大人说话！就哭不回答！我应该怎么开导她们！谢谢！",是不是与双胞胎有关系 // 有老师能解释下为什么吗？ // 王老师！她们是害怕还是自卑心理呢 // 我家孩子双胞胎！我的朋友与她们说话从来不作声！我特意问她们为什么不愿和大人说话？就哭不回答！学习挺好！在学校和老师同学交流还行！
