s1,title,following
1.3,女 如果改变不了老公，是不是只能改变我自己呀,什么意思 // 嗯 // 很难 // 谢谢 // 哎，你不懂
1.3,女 我爸不知道是又抽什么疯…………………………,骂骂咧咧的 // 具体就是骂得很难听，让我心情不好 // 他说我只知道玩 // 你说得对
1.3,家暴时， 隐藏好自己，别被抓到了，会很难受的。,小声点，阁楼的木板动静有点大
1.3,男 家庭烦恼，给我带来好大的黑暗？谁能帮到我。,[大哭][大哭][大哭]，我讲讲家庭烦恼带来给我好大的黑暗，我爸去世了！我妈也有病了！我这还有一个妈妈？万一他离开了我？我真的不知道怎么样下去这个美好的世界了。 // 谁能帮帮我求解啊，老师们。 // 唔该你们啦 // 好吗
1.3,男 父亲突然离开人世，自己天天悲痛，走不出困境,一个多月了
1.3,女 新手宝妈，婚姻，婆媳，育儿理念，爱胡思乱想,
1.3,女 老公当着孩子们的面，亲我是不是有点放肆呢？,亲的是脸【微笑】
1.3,女 这样是否有抑郁症？它这个我看不懂，麻烦了。,我真的感觉生活没有希望。 // 我家庭不是很完整和妈妈生活但是过的很累一周有六天都在和妈妈吵架 妈妈经常的一些举措让我感到害怕和妈妈没有好好说过话她也从来没有理解过我我基本有两天或者三天在深夜里或者白天都会哭 // 我发现我现在真的改变了好多 // 有时候没有原因但就是会难过 // 对生活也没希望 // 总是很烦躁。 // 有时候睡不着觉
1.3,女 你好我最近压力太大，和老公吵架了，该怎么办,
1.3,女 为什么做什么说什么家人都觉得错？每次都被骂,
1.3,女 我有心病，心结打不开，我恐惧婚后婆婆家相处,我自己的小孩，我不能说，婆婆总认为她的是对的
1.3,女 家庭如何处理，婆息关系这么处理，知道心里难受,我老公家庭条件不好，他也挺孝顺的，每次他妈妈都给他打电话是我的不好
1.3,女 我自从生了孩子就有了产后抑郁症无缘无故发脾气,一岁半 // 以前感觉没有那么明显现在是可明显了 // 会因为一件小事就发脾气
1.3,女 为什么只要是家里人，骂一两句就忍不住流眼泪？,
1.3,"女,骂我一句话把我骂醒，不再爱他！一个有妻有女的人",是的 // 我很理智！ // 但是离开很痛
1.3,女 父母经常猜测我的内心，不管正不正确，骂我………,操你妈，我想骂人 // 心难受
