s1,beginning_description,following_from_self,following_from_others
1.3,我和老婆吵架了，还打了她一下，现在她要离婚，有小孩我不想破坏家庭，给小孩造成不良影响，怎么办,好 // 还有过一次 // 她现在离家出走 // 理解，我给她赔礼道歉，可是她说什么也不行 // 我感觉还可以 // 明天吧，孩子睡觉了 // 好的,现在她可能有受伤的感觉。需要我们针对她的受伤感来工作 // 只有这一次争执吗？ 之前是否有矛盾？ // 我可以帮助你，你愿意付费预约一节咨询吗 // 帅哥 // 你是否理解她的感受 // 是否给了她足够的安全感和信任感？ 知道了原因和需求才更好做工作 // 可能你的感受和她的感受有出入 是否愿意电话咨询？ // 可以先关注我，需要时联系
1.3,结婚两年，因为家庭琐事老公提出离婚。宝宝一岁。他周围的亲戚朋友都知道他要离婚。我该怎么挽回。,请帮我出出主意 // 我生气回娘家了 // 他跟别人说的时候是非离不可，跟我表达的意思是还有可能，可是两天之后他又变卦了，说不过了 // 我回娘家四个月了。如果和好我会改变生活状态,不纠缠这个问题。会比较合适。 // 解决因家庭琐事所引起的矛盾 // 他对你们的婚姻有什么意见 // 什么样的琐事，用此来恐吓与你 // 然后呢？ // 你会娘家多久了？ // 两天之后还会变卦吗？ // 如果挽回了，你们的生活会怎么样？ // 美女，你打算一直呆在娘家吗？ // 这么长时间你都可以在娘家呆着，人家心能不凉快啊，现在只有做出让人家感动的事来挽回了
1.3,你好我和我老婆以前赶情还可以不知怎么了我今年十一回家叫他回他不回可我过了十一来他说要和我离婚,没什么就是说不想过了,她提出离婚的原因是什么呢？ // 她出轨了吧？ // 任何事情都不可能没有原因的，也许你对你老婆，观察比较淡漠 // 你还是没有说清楚她离婚的真正原因如果考虑清楚了，可以私信留言给我，我会给予回复。 // 什么事都不可能没有原因，只是你还没发现 // 需要具体说为你分析症结 // 你们之前发生过矛盾吗 // 以前就没发现什么预兆。 // 你们是异地么？ // 发生了什么事情呢？和老婆有过交流吗？ // 可以多谈一些。 // 帅哥
1.3,他的脾气暴燥，有时还施暴，我们动不动就吵，现在吵架差点打了起来，我们分居了，这种情况怎么处理,是为了点事情 // 我想过离婚，但又怕影响孩子 // 我们起来不相让 // 我们起来不相让 // 现在分居了，真的这种气氛太不好过了，怎么办 // 那我该怎么,你们个性太强了，你的真实想法是什么 // 打架是为了什么呢 // 你们结婚几年了？有孩子没有？ // 为了什么事可以动手打架？ // 家暴需要确证，取得社会支持系统帮助你。注意保护自己。具体咨询分析你们的关系。 // 也许你现在需要的是倾诉与发泄情绪 // 对错的问题 是你当下最感兴趣的 // 这个或许可以避免 // 分有分的理由。 // 如果为了孩子更应该积极的去解决问题 // 现在您是想怎样，需要怎样的帮助呢？ // 在婚姻家庭当中。夫妻关系冷淡对孩子的伤害更大。 // 怎么解决不是一两句话的事情，你可以选一个你信任的老师进行一对一的具体咨询
1.3,我孩子十六岁了，上高一，现在就是不想去学校，在家歇了一个星期了，怎么开导都不行，把我气的想死,我该怎么办 // 还好 // 有什么事他都跟我说，不和他爸说，男孩 // 说的是跟不上，在学校听不懂，去或不去一样，所以就不去 // 老师：咱能不能QQ或者微信聊呀？我愁的没办法，才和你们说，我真的想死去，不再管他了,你和孩子关系怎样 // 不上学的原因是什么 // 理解你的心情，你的焦虑会感染孩子的 // 你这个心态脾气，把孩子教育坏了。 // 孩子的问题，就说家庭问题导致的。
1.3,"女,28岁,快结婚了 却因为男朋友的梦想天天吵架 我希望他能脚踏实地工作 他却辞了工作追求理想 我很难过",他说 可以共存 但是却不去努力做 因为本身经济压力就大 如果真的没有这层压力 我觉得梦想是可以我门一起努力去追的 可他告诉我 他不会改变初衷 即使吃不上饭 也必须完成梦想 // 是的,你们的意见不统一。她要追求所谓理想，你要追求踏实的生活，你们不能达成一致吗？ // 你们的价值观不同哦 // 如果你想让我们一同感受这些，可以选择退一步，图文聊天，把你想谈的内容，汇总发给我，我会回复。 可以多谈一些。 欢迎关注我，需要时，预约咨询。祝好。 你什么时间方便电话？ // 美女，观念上的冲突很难调整，你需要好好考虑一下自己是否可以兼容了。 // 现在这样，以后你准备好了吗？
1.3,有二个孩孑由于老婆压力大加上家庭杂聿出轨被发现打了她，然后木离婚，我成她心里阴影，怎样挽救感情,,她出轨，无论是外面找性？还是找情？， 你都是有责任的。 // 不能把责任全加在她头上，然后还动手 // 点我头像，点击：电话咨询， // 电话里谈谈吧！ // 已经留言你了！ // 帅哥 // 欢迎你点我头像，点击【电话咨询】；在电话里听你详细说说。祝好。 // 在妻子遇到困难和压力的时候是需要关怀的时候，她没从你那里得到关爱，就用外求的方式来获得，但你用暴力来面对，使她更加对你失望了。建议具体咨询
1.3,17岁女孩休学一年了 整天在家也很懂事就是不去工作，她就是比较抵触出去工作平时也不乱花钱 请问怎么办,,可以尝试通过咨询调整 // 你很着急，不知道如何处理孩子的情况。孩子以前性格如何？什么原因休学？ // 你好，你好，，你好！ // 孩子以前怎样呢？喜欢交往吗？慢慢来，你太急了，往往适得其反 // 我现在就遇到这样一个女孩，她俩情况一样 // 这个女孩内心非常脆弱，无力承担责任，逃避外在的一切 // 是不是又是因为学校的环境！？ // 操他妈的 坑人的学校与家长
1.3,夫妻问题。我老婆不知道什么原因，特别生气，不能碰，不爱说话，一碰，一说话，感觉很烦？为什么？？？,她有头痛病 // 查了没什么大问题 // 我怎么关心，也有用 // 22岁 // 没上过学 // 她生气的时候，怎么哄也没用， // 沟通不来,你们吵架了吗 // 生气肯定有原因 // 夫妻之间要好好照顾对方的情绪很重要 // 去医院检查过吗 // 好好了解她，一个人生气的时候是脆弱的时候，是需要关心的时候. // 看来你们之间可能是有一些矛盾，没有处理好，让他心里边对你有一些看法 // 那就是她的心里的问题 // 。建议点击我头像，私聊来帮助你，好吧 // 你们生活中有什么压力吗 // 她多大，这样多久了，能说说她从什么时候开始的，因为什么问题吗？ // 退到一对一界面看我留言 // 你妻子是一个不太听劝的人，你觉得也与她无法沟通吗？ // 建议你让她来咨询 // 沟通方式不到位 // 需要她本人具体咨询。 // 头痛，是记忆深处，内心太多怨恨。可以引导你爱人做咨询。 // 这种情况语言拿捏得恰到好处，也是好解决的。 // 你可以给她一个空间让她自己清静下，等情绪过后，再来交流沟通
1.3,老婆喜欢打麻将，在牌桌上认识了另一个牌友然后他们天天在一起，现在她跟我提出离婚这种婚外情该怎么处理,,这种婚外情需要冷静处理 // 了解其中的原因，查找自身问题 // 帅哥 // 好 // 和她好好谈
