id	chinese	english	note
1.1	学业烦恼、对未来规划的迷茫	Academic Concerns	学业烦恼包括学习障碍、学习吃力、学习成绩差、注意力不集中和对学习科目无兴趣等。
1.2	事业和工作烦恼	Career and Workplace Issues	在工作中的，人际冲突问题、沟通问题、谣言、职场骚扰、歧视、动力不足和工作满意度低和职场表现差等问题。
1.3	家庭问题和矛盾	Family Issues and Conflict	家庭问题和矛盾包括家庭暴力、金钱遗产争执、家庭不和睦、婆媳问题、子女们对年长父母看护问题、继父母继子女冲突问题和离异父母对于儿女的养护问题。
1.4	物质滥用	Substance Abuse and Addiction	成人如酗酒、吸烟、药物滥用、吸毒、赌博和任何影响生活品质的上瘾行为。
1.5	悲恸	Grief	由于痛失亲人或朋友而引起的极大悲伤。
1.6	失眠	Insomnia	无法入睡或难以保持入睡状态而影响第二天表现的睡眠障碍。
1.7	压力	Stress	压力是一种情绪上或身体上的紧张感。它可能来自任何使您感到沮丧，愤怒或紧张的事件或想法。
1.8	人际关系	Interpersonal Relationship	不属于职场、学校以及家庭的人际关系紧张与矛盾。
1.9	情感关系问题	Relationship Issues	早恋、暗恋、异地恋、出轨、吵架、复合、LGBT 群体
1.10	离婚	Divorce	离婚后情感以及孩子的问题
1.11	分手	Break Up	分手后的痛苦
1.12	自我探索	Self-Awareness	如星座、性格、兴趣等
1.13	低自尊	Low self-esteem	低自尊心的表现 自尊是一个人对自己的价值的主观评价。自尊包括对自己以及情绪状态的信念，例如胜利，绝望，骄傲和羞耻。
1.14	青春期问题	Adolescent Problem	青春期少年在身心成长上所面临的问题，如叛逆、伤害他人、怀孕、药物滥用和青少年犯罪。
1.15	强迫症	OCD	强迫症的人会陷入一种无意义、且令人沮丧的重复的想法与行为当中，但是一直想却无法摆脱它。
1.16	其它	Others	其他烦恼，虽然对生活学习没有造成毁灭性的阻碍，但是却依然会引起心里不适。
1.17	男同性恋、女同性恋、双性恋与跨性别	LGBT	男同性恋、女同性恋、双性恋与跨性别
1.18	性问题	Sex	对于青少年，是性教育不足引起各种社会问题；对于成年人，性焦虑与性上瘾可以演变成生理疾病。
1.19	亲子关系	Parent-child relationship	亲子关系，从婴幼儿时期就开始影响着孩子各方面的发展，比如性格、毅力、人际交往等等。
2.1	忧郁症	Depression	长时间持续的抑郁情绪，并且这种情绪明显超过必要的限度，缺乏自信，避开人群，甚至有罪恶感，感到身体能量的明显降低，时间的感受力减慢，无法在任何有趣的活动中体会到快乐。
2.2	焦虑症	Anxiety	长时间持续性的焦虑情绪，无明确客观对象却依然紧张担心，坐立不安，如心悸、手抖、出汗、尿频、注意力难以集中。
2.3	躁郁症	Bipolar Disorder	又称为"双向情感障碍" 。狂躁期：感到生机勃勃、精力充沛以及情感高涨或易被激惹。也可感到过度自信，行为或穿着铺张浪费，睡眠极少且语量增多。
2.4	创伤后应激反应	PTSD	首先要经历创伤：如孩童时期遭受身体或心理上的虐待；接触相关事物时会有精神或身体上的不适和紧张，创伤的情景会一遍一遍在脑海中重演。
2.5	恐慌症	Panic Disorder	又称急性焦虑症，是反复发生的惊恐发作。惊恐发作是突然的短期强烈的恐惧（濒死感），包含心悸、流汗、手颤抖、呼吸困难、麻痹感。
2.6	厌食症和暴食症	Eating Disorder	厌食症：吃太少导致体重偏轻；暴食症：大量进食后再想办法吐出来。两种疾病都对"瘦"有着极端的追求，对自己身体不满意，在生活学习上有极端完美主义心态。
2.7	尚未达到 S2	Unrelated	还没有严重到心理疾病
2.8	其它疾病	Others	已经严重影响生活和工作，甚至生活工作不能进行，但并不能确认是哪一类疾病的情况。
3.1	正在进行的自杀行为	Suicide Action	N/A
3.2	策划进行的自杀行为	Suicide Ideation	N/A
3.3	自残	Self-harm	N/A
3.4	进行的人身伤害	N/A	正在对他人进行伤害
3.5	计划的人身伤害	N/A	计划对他人进行伤害
3.6	无伤害身体倾向	N/A	N/A
